Institution,
Boston University ,
Brandeis University ,
Brown University ,
California Institute of Technology ,
Carnegie Mellon University ,
Case Western Reserve University ,
Columbia University ,
Cornell University ,
Dartmouth College ,
Duke University ,
Emory University ,
Georgia Institute of Technology ,N
Harvard University ,
Indiana University ,
Iowa State University ,N
Massachusetts Institute of Technology ,
McGill University ,N
Michigan State University ,
New York University ,
Northwestern University ,
Princeton University ,
Purdue University ,N
Rice University ,
Rutgers University – New Brunswick ,
Stanford University ,
Stony Brook University – The State University of New York ,N
Texas A&M University ,N
The Johns Hopkins University ,
The Ohio State University ,N
The Pennsylvania State University ,N
The University of Arizona ,N
The University of Chicago ,
The University of Iowa ,N
The University of Kansas ,N
The University of North Carolina at Chapel Hill ,N
The University of Texas at Austin ,N
The University of Utah ,N
The University of Wisconsin – Madison ,N
Tulane University ,
University at Buffalo – The State University of New York ,
"University of California, Berkeley ",
"University of California, Davis ",
"University of California, Irvine ",
"University of California, Los Angeles ",
"University of California, San Diego ",
"University of California, Santa Barbara ",
"University of California, Santa Cruz ",
"University of Colorado, Boulder ",
University of Florida ,
University of Illinois at Urbana-Champaign ,
University of Maryland at College Park ,
University of Michigan ,
"University of Minnesota, Twin Cities ",
"University of Missouri, Columbia ",N
University of Oregon ,
University of Pennsylvania ,
University of Pittsburgh ,N
University of Rochester ,
University of Southern California ,
University of Toronto ,
University of Virginia ,
University of Washington ,
Vanderbilt University ,
Washington University in St. Louis ,
Yale University ,
